item index num(items[i]),id of checkin,createdAt,createdATDateTimeFormat,createdAtDate,,createdAtDay,createdAtTime,venue name,location lat,location long
126,4ffedd97e4b0a816c6c02433,1342102935,7/12/12 10:22 AM,"Thursday, July 12, 12","Thursday, July 12, 12",Thursday,10:22 AM,7 Stuyvesant Oval,40.73153678,-73.97951637
127,4ffe256ee4b0012e52e0e05c,1342055790,7/11/12 9:16 PM,"Wednesday, July 11, 12","Wednesday, July 11, 12",Wednesday,9:16 PM,Murray's Falafel,40.73216623,-73.98190388
128,4ffe12e2e4b0f1ba28580ed6,1342051042,7/11/12 7:57 PM,"Wednesday, July 11, 12","Wednesday, July 11, 12",Wednesday,7:57 PM,REI,40.72463254,-73.99553239
129,4ffe079fe4b0a95e0b55f27f,1342048159,7/11/12 7:09 PM,"Wednesday, July 11, 12","Wednesday, July 11, 12",Wednesday,7:09 PM,Schnipper's Quality Kitchen,40.7407458,-73.98768889
130,4ffe073ee4b0d9a11c4ce8ad,1342048062,7/11/12 7:07 PM,"Wednesday, July 11, 12","Wednesday, July 11, 12",Wednesday,7:07 PM,Madison Square Park,40.74218831,-73.98792419
131,4ffd8d83e4b08c5c1bd534a9,1342016899,7/11/12 10:28 AM,"Wednesday, July 11, 12","Wednesday, July 11, 12",Wednesday,10:28 AM,ChatID,40.73870023,-73.9890146
132,4ffce2b0e4b0279c5b33e569,1341973168,7/10/12 10:19 PM,"Tuesday, July 10, 12","Tuesday, July 10, 12",Tuesday,10:19 PM,Lombardi's Coal Oven Pizza,40.72156103,-73.99565578
133,4ffc3fdee4b04f2b011fb143,1341931486,7/10/12 10:44 AM,"Tuesday, July 10, 12","Tuesday, July 10, 12",Tuesday,10:44 AM,ChatID,40.73870023,-73.9890146
134,4ffb672fe4b042c38c094c02,1341876015,7/9/12 7:20 PM,"Monday, July 9, 12","Monday, July 9, 12",Monday,7:20 PM,Palladium Athletic Facility,40.73342001,-73.98809062
135,4ffb281ce4b0aeaea02a919b,1341859868,7/9/12 2:51 PM,"Monday, July 9, 12","Monday, July 9, 12",Monday,2:51 PM,ChatID,40.73870023,-73.9890146
